date,state,shape
1974-10-01,TX,unknown
1974-10-01,WV,sphere
1974-10-01,MN,unknown
1974-10-01,NJ,light
1975-10-01,AZ,changing
1976-10-01,OH,disk
1976-10-01,NY,disk
1976-10-01,FL,disk
1977-10-01,CA,other
1977-10-01,CA,other
1978-10-01,NC,cone
1978-10-01,LA,disk
1978-10-01,IN,cylinder
1979-10-01,CA,disk
1979-10-01,MD,rectangle
1979-10-01,NY,light
1979-10-01,WA,disk
1979-10-01,PA,disk
1979-10-01,NJ,light
1980-10-01,CA,other
1980-10-01,AL,fireball
1980-10-01,PA,formation
1980-10-01,NJ,cigar
1981-10-01,MI,oval
1982-10-01,MI,fireball
1983-10-01,MA,unknown
1983-10-01,NC,disk
1984-10-01,OR,light
1984-10-01,CA,light
1984-10-01,ME,triangle
1985-10-01,FL,triangle
1985-10-01,MI,light
1985-10-01,NC,sphere
1985-10-01,OH,triangle
1985-10-01,KS,sphere
1986-10-01,OR,circle
1986-10-01,WV,light
1987-10-01,FL,NA
1987-10-01,OR,oval
1987-10-01,NH,fireball
1987-10-01,NC,triangle
1989-10-01,ID,disk
1989-10-01,KY,oval
1989-10-01,IL,circle
1989-10-01,NY,oval
1989-10-01,CA,rectangle
1989-10-01,ME,disk
1990-10-01,WA,oval
1990-10-01,CA,light
1990-10-01,NY,light
1991-10-01,SC,other
1991-10-01,CA,circle
1991-10-01,TN,cigar
1991-10-01,AR,triangle
1991-10-01,TN,disk
1991-10-01,NV,cigar
1991-10-01,GA,other
1992-10-01,GA,triangle
1992-10-01,MO,egg
1992-10-01,TX,unknown
1993-10-01,AZ,triangle
1993-10-01,OH,light
1993-10-01,MT,light
1994-10-01,OK,triangle
1994-10-01,NY,disk
1994-10-01,MA,changing
1994-10-01,CA,triangle
1994-10-01,MO,cigar
1994-10-01,NV,circle
1994-10-01,PA,disk
1995-10-01,IA,NA
1995-10-01,OR,NA
1995-10-01,OR,NA
1995-10-01,KY,disk
1995-10-01,PA,rectangle
1995-10-01,IL,other
1995-10-01,NY,triangle
1995-10-01,TX,NA
1995-10-01,NH,triangle
1996-10-01,TX,formation
1996-10-01,OH,triangle
1996-10-01,NY,oval
1996-10-01,CA,sphere
1996-10-01,AZ,sphere
1996-10-01,TX,fireball
1997-10-01,MN,triangle
1997-10-01,TX,rectangle
1997-10-01,NY,other
1997-10-01,NC,cigar
1997-10-01,WI,light
1997-10-01,SC,triangle
1997-10-01,MA,triangle
1997-10-01,IL,triangle
1997-10-01,OR,light
1997-10-01,VA,other
1997-10-01,SC,triangle
1997-10-01,FL,light
1998-10-01,UT,triangle
1998-10-01,OR,light
